team,season,total_snaps,yards_gained,touchdown,extra_point_attempt,field_goal_attempt,total_points,td_points,xp_points,fg_points,fumble,fumble_lost,shotgun,no_huddle,qb_dropback,pass_snaps_count,pass_snaps_pct,pass_attempts,complete_pass,incomplete_pass,air_yards,passing_yards,pass_td,interception,targets,receptions,receiving_yards,yards_after_catch,receiving_td,pass_fumble,pass_fumble_lost,rush_snaps_count,rush_snaps_pct,qb_scramble,rushing_yards,run_td,run_fumble,run_fumble_lost,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,wins,losses,ties,win_pct,record,yps
ARI,2012,1013,7595,28,25,25,268,168,25,75,16,10,568,53,676,665,0.66,586,337,249,4862,3383,17,21,586,337,3383,1363,17,10,7,348,0.34,11,1207,11,6,3,4,4,0,1,7,0,5,11,0,0.313,"	5-11-0",7.5
ARI,2013,1020,9855,37,37,30,349,222,37,90,17,9,385,17,622,617,0.6,551,363,188,5284,4291,25,22,551,363,4291,1756,25,9,5,403,0.4,5,1560,12,8,4,6,2,0,4,4,0,10,6,0,0.625,"	10-6-0",9.66
ARI,2014,983,9128,28,27,29,282,168,27,87,13,5,495,17,613,598,0.61,556,320,236,6028,3990,22,12,556,320,3990,1604,22,9,3,385,0.39,15,1326,6,4,2,7,1,0,4,4,0,11,5,0,0.688,"	11-5-0",9.29
ARI,2015,1005,11337,53,53,28,455,318,53,84,16,9,400,11,590,583,0.58,543,353,190,6084,4775,36,13,543,353,4775,1782,36,8,5,422,0.42,7,1946,16,8,4,6,2,0,7,1,0,13,3,0,0.813,"	13-3-0",11.28
ARI,2016,1080,10302,51,43,21,412,306,43,63,25,11,529,51,692,688,0.64,626,383,243,6204,4425,30,17,626,383,4425,1747,30,14,6,392,0.36,4,1739,21,11,5,4,4,1,3,5,0,7,9,1,0.412,"	7-9-1",9.54
ARI,2017,1046,9021,31,23,32,305,186,23,96,19,7,466,44,667,651,0.62,579,339,240,5807,3979,25,18,579,339,3979,1457,25,10,4,395,0.38,16,1400,6,9,3,5,3,0,3,5,0,8,8,0,0.5,"	8-8-0",8.62
ARI,2018,896,6761,28,23,12,227,168,23,36,22,10,515,64,563,548,0.61,476,283,193,3979,2884,19,18,476,283,2884,1254,19,16,8,348,0.39,16,1350,9,6,2,1,7,0,2,6,0,3,13,0,0.188,"	3-13-0",7.55
ARI,2019,988,9287,43,34,31,385,258,34,93,9,6,874,283,633,603,0.61,538,355,183,4195,3797,23,12,538,355,3797,1880,23,6,4,385,0.39,30,2007,18,3,2,2,6,1,3,5,0,5,11,1,0.294,"	5-11-1",9.4
ARI,2020,1068,10275,52,45,23,426,312,45,69,20,8,983,408,648,598,0.56,554,387,167,4460,4102,30,13,554,387,4102,1870,30,11,7,470,0.44,50,2257,22,9,1,4,4,0,4,4,0,8,8,0,0.5,"	8-8-0",9.62
ARI,2021,1112,10975,52,47,31,452,312,47,93,26,3,1015,414,666,633,0.57,580,415,165,4413,4619,28,11,580,415,4603,2263,28,9,2,479,0.43,33,2096,23,17,1,3,5,0,8,1,0,11,6,0,0.647,"	11-6-0",9.87
ARI,2022,1142,9482,34,24,28,312,204,24,84,24,7,1030,374,753,713,0.62,643,433,210,4604,3966,19,17,643,433,3966,2058,19,11,3,429,0.38,40,1880,15,13,4,1,8,0,3,5,0,4,13,0,0.235,"	4-13-0",8.3
ARI,2023,1071,8954,38,22,28,334,228,22,84,19,5,760,110,635,602,0.56,542,355,187,4186,3430,21,12,542,355,3430,1669,21,10,4,469,0.44,33,2374,17,9,1,2,6,0,2,7,0,4,13,0,0.235,"	4-13-0",8.36
